ORDER_NUMBER;VENDOR_ID;VENDOR_NAME;RETAIL_GROUP;EMISION_DATE_PO;ROUTE_LABEL;TOTAL_AMOUNT;CURRENCY;CATEGORY;INCOTERMS;LOGISTICS_INCOTERM;PRICE_INCOTERM;DEPARTURE_PORT_ID;ARRIVAL_PORT_ID;DATE_THEORICAL_LOAD;DATE_CARGA_PO;CASE_NUMBER_FILE;CONSOLIDATOR_NAME;CUSTOMS_DUA;RECEIPT_NOTE;RECEIPT_NOTE_DATE;FACTORY_PROFORMA_NUMBER;INVOICE;INVOICE_AMOUNT;APPLY_TECHNICAL_NOTE;APPLIES_TLC;REASON;CUSTOMER_TYPE;TRADING_COMPANY;Estado o Etapa;Contenedor;Naviera;Tipo de contenedor;Documento de transito;Solicitud de booking;Autorizacion de booking;Fecha de asignacion de agente de carga;ETD inicial;ETD variable;ATD;ETA Inicial;ETA Variable;ATA;Monto de flete;Factura de flete;Tipo de tarifa;Proveedor de servicio;Ingreso a AF;Salida de Almacen fiscal;Usa Almacen fiscal
6701356;270;HUAIAN CHANGCHENG TEACHING TOOLS LIMITED CO                ;83;2025-08-28;Directo CR - FERRETERIA EPA, S.A.;17712,00;USD;<null>;FOB  ;FOB  ;FOB  ;91;125;2026-01-15;2026-01-15;7497;BINTER TRADE LLC. (Dropship CR);-- N/A --;101744;2026-01-28;PI5CR;GW250902B3-1;17712,00;false;true;CNY;EPA;OLO6;Transito;FFAU2859030;HAPAG LLOYD;Contenedor 40 HC;ASSHAA00085;06-01-26;06-01-26;05/01/2026;23-01-26;30-01-26;24-01-26;06-03-26;13-03-26;;3720;0;NAC;AIR SEA WORLDWIDE;0;0;N
6701357;270;HUAIAN CHANGCHENG TEACHING TOOLS LIMITED CO                ;83;2025-08-28;Directo CR - FERRETERIA EPA, S.A.;17712,00;USD;<null>;FOB  ;FOB  ;FOB  ;91;125;2026-01-15;2026-01-15;7559;BINTER TRADE LLC. (Dropship CR);-- N/A --;101851;2026-02-19;PI6CR;GW250902B4-1;17712,00;false;true;CNY;EPA;OLO6;Transito;HAMU4547710;HAPAG LLOYD;Contenedor 40 HC;ASSHAA00549;19-01-26;19-01-26;15/01/2026;11-02-26;27-02-26;26-02-26;10-04-26;10-04-26;;2700;0;NAC;AIR SEA WORLDWIDE;0;0;N
6701360;270;HUAIAN CHANGCHENG TEACHING TOOLS LIMITED CO                ;83;2025-08-28;Directo GT - FERRETERIA EPA, S.A. (Guatemala);17635,90;USD;<null>;FOB  ;FOB  ;FOB  ;91;40;2025-12-15;2025-12-15;7539;BINTER TRADE LLC. (Dropship GT);-- N/A --;101789;2026-02-06;PI9GT;GW250902B3-2;17635,90;false;false;CNY;EPA;OLO6;Transito;HAMU4065811;HAPAG LLOYD;Contenedor 40 HC;ASSHAA00086;06-01-26;06-01-26;05/01/2026;27-01-26;08-02-26;11-02-26;25-03-26;25-03-26;;3555;0;NAC;AIR SEA WORLDWIDE;0;0;N
6701361;270;HUAIAN CHANGCHENG TEACHING TOOLS LIMITED CO                ;83;2025-08-28;Directo VE - FERRETERIA EPA, C.A.;18296,00;USD;<null>;FOB  ;CIF  ;FOB  ;91;116;2025-10-15;2025-10-15;7214;BINTER TRADE LLC. (Dropship EPA - VE) ;-- N/A --;101442;2025-12-18;PI10VE;GW250902B1-4;18296,00;false;false;CNY;EPA;OLO6;Transito;GESU6733740;CMA CGM;Contenedor 40 HC;BJPBL2500051;21-11-25;21-11-25;07/10/2025;30-11-25;17-12-25;12-12-25;09-02-26;01-02-26;;4820;IOLFT25-913;FAK;IN OCEAN;0;0;N
6701363;270;HUAIAN CHANGCHENG TEACHING TOOLS LIMITED CO                ;83;2025-08-28;Directo VE - FERRETERIA EPA, C.A.;17656,00;USD;<null>;FOB  ;CIF  ;FOB  ;91;116;2026-01-15;2026-01-15;7663;BINTER TRADE LLC. (Dropship EPA - VE) ;-- N/A --;101926;2026-03-12;PI12VE;GW250902B4-2;17656,00;false;false;CNY;EPA;OLO6;Transito;GAOU6376906;CMA CGM;Contenedor 40 HC;BJPBL2600082;27-01-26;27-01-26;15/01/2026;14-02-26;15-03-26;09-03-26;28-04-26;28-04-26;;3450;IOLFT26-157;FAK;IN OCEAN;0;0;N
6701367;279;OKAY LOCK MANUFACTURE CO.,LIMITED                          ;82;2025-08-29;Directo VE - FERRETERIA EPA, C.A.;90001,08;USD;<null>;FOB  ;CIF  ;FOB  ;113;116;2025-11-16;2025-11-16;7168;BINTER TRADE LLC. (Dropship EPA - VE) ;-- N/A --;101385;2025-12-12;250826;250826;90001,08;false;false;CNY;EPA;OLO6;Transito;TCLU1868958;CMA CGM;Contenedor 40 HC;BJPBL2500061;21-11-25;21-11-25;17/11/2025;08-12-25;08-12-25;03-12-25;14-01-26;04-02-26;;5450;IOLFT25-886;FAK;IN OCEAN;0;0;N
6701381;516;TANGSHAN HENGER IMPORT&EXPORT TRADING CO;89;2025-08-29;Directo CR - FERRETERIA EPA, S.A.;11440,00;USD;<null>;FOB  ;FOB  ;FOB  ;77;125;2026-03-30;2026-03-30;<null>;BINTER TRADE LLC. (Dropship CR);<null>;<null>;<null>;7;<null>;<null>;false;false;CNY;EPA;OLO6;Produccion;80001372-7;0;Contenedor 40 HC;0;;;;;;;;;;0;0;0;0;0;0;N
6701382;516;TANGSHAN HENGER IMPORT&EXPORT TRADING CO;89;2025-08-29;Directo CR - FERRETERIA EPA, S.A.;11440,00;USD;<null>;FOB  ;FOB  ;FOB  ;77;125;2026-04-30;2026-04-30;<null>;BINTER TRADE LLC. (Dropship CR);<null>;<null>;<null>;8;<null>;<null>;false;false;CNY;EPA;OLO6;Produccion;80001372-8;0;Contenedor 40 HC;0;;;;;;;;;;0;0;0;0;0;0;N
6701383;516;TANGSHAN HENGER IMPORT&EXPORT TRADING CO;89;2025-08-29;Directo CR - FERRETERIA EPA, S.A.;11440,00;USD;<null>;FOB  ;FOB  ;FOB  ;77;125;2026-05-30;2026-05-30;<null>;BINTER TRADE LLC. (Dropship CR);<null>;<null>;<null>;9;<null>;<null>;false;false;CNY;EPA;OLO6;Produccion;80001372-9;0;Contenedor 40 HC;0;;;;;;;;;;0;0;0;0;0;0;N
6701384;516;TANGSHAN HENGER IMPORT&EXPORT TRADING CO;89;2025-08-29;Directo CR - FERRETERIA EPA, S.A.;11440,00;USD;<null>;FOB  ;FOB  ;FOB  ;77;125;2026-05-30;2026-05-30;<null>;BINTER TRADE LLC. (Dropship CR);<null>;<null>;<null>;10;<null>;<null>;false;false;CNY;EPA;OLO6;Produccion;80001372-10;0;Contenedor 40 HC;0;;;;;;;;;;0;0;0;0;0;0;N
